name,company,address,country,website,additional_info,page_number
2CY COSMETICS,"R and C ENTERPRISE LTD 
Q Residence, Flat/Office 53 
Kalymnou, 10
6037 Larnaca
Cyprus",,,https://naturea.com,"R and C ENTERPRISE LTD 
Q Residence, Flat/Office 53 
Kalymnou, 10
6037 Larnaca
Cyprushttps://naturea.com",1
4 PEOPLE WHO CARE,"4peoplewhocare UG (haftungsbeschränkt)
Holstenkamp 46a
22525 Hamburg 
Germany","www.4peoplewhocare.com We are 4 PEOPLE WHO CARE.

Four friends with a mission to protect biodiversity on your doorstep. With every product we sell we reinvest in the nature from which we get our raw materials. This impact is what drives us. Sounds idealistic - it is.",,www.4peoplewhocare.de,"4peoplewhocare UG (haftungsbeschränkt)
Holstenkamp 46a
22525 Hamburg 
Germanywww.4peoplewhocare.dewww.4peoplewhocare.comWe are 4 PEOPLE WHO CARE.

Four friends with a mission to protect biodiversity on your doorstep. With every product we sell we reinvest in the nature from which we get our raw materials. This impact is what drives us. Sounds idealistic - it is.",1
72K,"viocap AG
Bahnhofstrasse 21 B
4106 Therwil
Switzerland",https://www.72k.ch,,https://72k.co,"viocap AG
Bahnhofstrasse 21 B
4106 Therwil
Switzerlandhttps://72k.cohttps://www.72k.ch",1
ABITARA,"ESTABLISHMENT POIDER AL-AMTIAZ FOR TRADING
RIYADH, 13224 ABI ALKHATTAB 4876
SAUDI ARABIA",,,https://abitara.com.sa,"ESTABLISHMENT POIDER AL-AMTIAZ FOR TRADING
RIYADH, 13224 ABI ALKHATTAB 4876
SAUDI ARABIAhttps://abitara.com.sa",1
AEOS,"Aura-Soma Products Ltd.
South Road
Tetford
Lincolnshire
LN9 6QB
United Kingdom","www.aeos.net Harnessing the vibrational powers of Mother Nature, Aura‑Soma is a system of colour, plant and crystal energies that enhance happiness and vitality. AEOS is the next generation in advanced biodynamic skincare. Created using the highest quality organic and biodynamic ingredients our products bring ease, balance and calm to your energetic system. Our formulations are blended, purified and activated resulting in a range of softening textures, soul-soothing colours and heavenly aromas.

Our philosophy is simple: to achieve your most beautiful complexion yet, we must first care for the soil, feed the skin and nourish the soul – and we do this in the most pure and kind way, to benefit as many people as possible. Sustainability is paramount to the AEOS way of life.

We believe in keeping our formulations as ‘pure’ as possible. For us this means all ingredients must be unprocessed and have no derivatives from animals.",,www.aura-soma.com,"Aura-Soma Products Ltd.
South Road
Tetford
Lincolnshire
LN9 6QB
United Kingdomwww.aura-soma.comwww.aeos.netHarnessing the vibrational powers of Mother Nature, Aura‑Soma is a system of colour, plant and crystal energies that enhance happiness and vitality. AEOS is the next generation in advanced biodynamic skincare. Created using the highest quality organic and biodynamic ingredients our products bring ease, balance and calm to your energetic system. Our formulations are blended, purified and activated resulting in a range of softening textures, soul-soothing colours and heavenly aromas.

Our philosophy is simple: to achieve your most beautiful complexion yet, we must first care for the soil, feed the skin and nourish the soul – and we do this in the most pure and kind way, to benefit as many people as possible. Sustainability is paramount to the AEOS way of life.

We believe in keeping our formulations as ‘pure’ as possible. For us this means all ingredients must be unprocessed and have no derivatives from animals.",1
AGWA,"KURUMA OG
Schönau 3 
6252 Breitenbach am Inn
Austria","Third party manufacturer
PURE GREEN GmbH
Gewerbepark 17
6426 Roppen www.puregreen.at",Austria,www.agwa.at,"KURUMA OG
Schönau 3 
6252 Breitenbach am Inn
Austriawww.agwa.atThird party manufacturer
PURE GREEN GmbH
Gewerbepark 17
6426 Roppen
Austriawww.puregreen.at",1
AHAVA,"AHAVA Dead Sea Laboratories Ltd 
 1 Arava Airport City
7019900 Israel",,,https://global.ahava.com/,"AHAVA Dead Sea Laboratories Ltd 
 1 Arava Airport City
7019900 Israelhttps://global.ahava.com/",1
ALAVI NATURAL COSMETICS,"ALAVI Natural Cosmetics d.o.o.
OMLADINSKA 6
51 000 Rijeka
Croatia
alavicosmetics.com

Our story does not begin with a product... It begins with a vision, a commitment to share the purest, most effective natural cosmetics with the world. 
Inspired by a woman who is not willing to make compromise between health & beauty, style & nature, Alavi tells a story about a woman in her quest to find the best, the purest organic ingredients. 
It witnesses a woman's journey within herself to find out she deserves the finest gifts that nature has to offer. 
Alavi brand is about finding out that you can have it all! 

Alavi Natural Cosmetics 
- a journey to yourself -",,,,"ALAVI Natural Cosmetics d.o.o.
OMLADINSKA 6
51 000 Rijeka
Croatia
alavicosmetics.com

Our story does not begin with a product... It begins with a vision, a commitment to share the purest, most effective natural cosmetics with the world. 
Inspired by a woman who is not willing to make compromise between health & beauty, style & nature, Alavi tells a story about a woman in her quest to find the best, the purest organic ingredients. 
It witnesses a woman's journey within herself to find out she deserves the finest gifts that nature has to offer. 
Alavi brand is about finding out that you can have it all! 

Alavi Natural Cosmetics 
- a journey to yourself -",1
ALLGÄUQUELLE NATURPRODUKTE,"Allgäuquelle Naturprodukte GmbH
Nieratzer Bad 2
88239 Wangen im Allgäu",,,www.allgaeuquelle.de,"Allgäuquelle Naturprodukte GmbH
Nieratzer Bad 2
88239 Wangen im Allgäuwww.allgaeuquelle.de",1
ALOE VERA NATURKOSMETIK,"Anton Hübner GmbH & Co KG
Schloßstraße 11-17
79238 Ehrenkirchen
Germany",,,www.huebner-vital.com,"Anton Hübner GmbH & Co KG
Schloßstraße 11-17
79238 Ehrenkirchen
Germanywww.huebner-vital.com",1
